Error, Time
-56,9690
-59,9702
-60,9713
-60,9724
-58,9736
-54,9748
-48,9760
-41,9772
-32,9784
-32,9794
-24,9806
-14,9817
-5,9829
4,9841
4,9852
14,9863
23,9875
33,9888
41,9900
51,9912
51,9922
60,9934
60,9944
69,9956
77,9968
85,9980
92,9991
99,10002
105,10014
105,10024
108,10037
111,10049
113,10061
114,10073
114,10084
114,10096
114,10108
114,10119
114,10131
117,10144
122,10156
126,10168
126,10179
129,10190
131,10202
131,10214
131,10224
131,10237
130,10249
129,10261
126,10272
123,10285
123,10295
120,10307
116,10319
112,10331
107,10343
97,10354
97,10365
85,10376
73,10388
59,10400
45,10411
31,10423
31,10434
16,10445
1,10457
-12,10469
-28,10481
-28,10491
-38,10506
-47,10518
-55,10530
-62,10542
-67,10554
-70,10566
-70,10576
-72,10588
-75,10600
-77,10611
-77,10622
-78,10634
-79,10646
-79,10657
-80,10669
-80,10680
-80,10692
-79,10704
-78,10716
-76,10728
-74,10740
-71,10751
-71,10762
-66,10774
-60,10785
-60,10796
-51,10809
-43,10821
-34,10833
-23,10845
-8,10857
6,10869
6,10879
20,10892
36,10904
50,10916
65,10928
65,10938
80,10951
92,10963
99,10975
105,10987
112,10998
112,11008
118,11020
124,11032
128,11044
132,11056
132,11067
132,11078
134,11089
137,11101
139,11113
145,11125
145,11136
151,11147
151,11240
145,11252
139,11265
132,11277
127,11288
122,11300
118,11312
114,11324
114,11335
111,11346
109,11363
107,11375
105,11387
101,11398
94,11410
87,11422
87,11432
80,11444
74,11456
67,11468
67,11478
60,11490
54,11502
47,11515
41,11526
34,11538
27,11550
27,11561
22,11572
17,11584
11,11596
3,11608
3,11618
-1,11633
-5,11645
-5,11655
-7,11667
-9,11679
-11,11690
-17,11702
-25,11714
-16,11726
-16,11736
-13,11749
-12,11761
-12,11773
-11,11785
-11,11795
-10,11807
-8,11819
-7,11831
-6,11843
-5,11855
-5,11865
-3,11878
-2,11891
0,11903
1,11914
3,11926
3,11937
4,11949
5,11961
6,11972
8,11984
8,11995
10,12005
11,12017
12,12029
14,12040
14,12052
16,12064
16,12074
17,12086
21,12098
21,12109
22,12121
22,12131
22,12143
24,12155
24,12166
22,12178
21,12190
20,12202
18,12214
16,12225
14,12237
14,12248
13,12259
10,12271
8,12283
8,12294
6,12306
3,12318
1,12330
-2,12342
-5,12353
-5,12364
-7,12377
-10,12389
-14,12400
-18,12412
-23,12425
-23,12435
-20,12448
-21,12459
-23,12471
-25,12483
-26,12495
-26,12506
-27,12517
-29,12529
-30,12541
-34,12553
-38,12564
-38,12575
-42,12586
-49,12598
-54,12610
-59,12622
-59,12632
-65,12644
-69,12656
-74,12668
-74,12678
-77,12692
-81,12705
-84,12716
-87,12728
-89,12740
-90,12752
-90,12762
-91,12774
-91,12786
-91,12797
-91,12808
-90,12820
-88,12832
-87,12844
-85,12856
-82,12868
-79,12879
-75,12892
-75,12903
-71,12914
-67,12926
-67,12937
-62,12949
-57,12962
-53,12974
-50,12986
-48,12998
-45,13009
-45,13019
-42,13031
-40,13043
-39,13055
-38,13067
-38,13077
-36,13089
-35,13101
-33,13113
-31,13124
-30,13136
-30,13147
-28,13158
-26,13170
-25,13182
-25,13193
-23,13205
-21,13217
-19,13228
-18,13240
-16,13252
-14,13265
-14,13275
-12,13287
-10,13298
-9,13310
-7,13322
-5,13333
-5,13344
-4,13355
-4,13366
-2,13378
0,13390
1,13402
1,13414
3,13426
-2,13437
-2,13448
-8,13460
-19,13472
-24,13484
-31,13495
-31,13506
-39,13519
-47,13531
-53,13542
-62,13554
-68,13566
-68,13576
-75,13589
-81,13601
-87,13612
-93,13624
-98,13636
-98,13646
-103,13658
-106,13670
-108,13682
-109,13694
-109,13704
-110,13716
-110,13728
-108,13739
-108,13751
-109,13763
-109,13774
-108,13786
-108,13796
-107,13808
-107,13819
-106,13832
-105,13844
-105,13856
-105,13868
-105,13880
-105,13893
-105,13903
-105,13915
-105,13926
-105,13937
-105,13948
-104,13960
-103,13972
-101,13984
-97,13996
-92,14007
-87,14019
-87,14030
-81,14041
-75,14053
-69,14065
-69,14076
-62,14088
-54,14100
-47,14112
-39,14123
-39,14134
-32,14146
-25,14158
-18,14170
-15,14181
-12,14193
-10,14205
-10,14216
-9,14227
-7,14239
-5,14251
-7,14263
-15,14275
-15,14285
-18,14297
-23,14308
-27,14320
-31,14332
-31,14343
-35,14354
-35,14365
-38,14377
-42,14389
-44,14401
-48,14412
-50,14424
-54,14436
-56,14448
-56,14458
-58,14470
-60,14482
-62,14494
-62,14506
-63,14518
-64,14531
-65,14543
-66,14555
-66,14567
-66,14578
-66,14591
-66,14601
-65,14613
-64,14625
-63,14638
-63,14649
-62,14660
-60,14674
-59,14685
-58,14697
-59,14709
-62,14721
-62,14731
-64,14744
-66,14756
-68,14768
-71,14779
-71,14790
-76,14803
-79,14814
-83,14826
-86,14838
-88,14850
-88,14860
-88,14874
-90,14887
-91,14899
-90,14910
-90,14922
-90,14932
-88,14945
-86,14957
-84,14969
-82,14980
-82,14991
-79,15001
-75,15013
-71,15025
-67,15037
-62,15049
-57,15061
-57,15071
-51,15083
-45,15095
-40,15106
-35,15118
-29,15131
-29,15141
-23,15153
-17,15165
-11,15176
-6,15188
-6,15199
2,15210
2,15221
6,15233
9,15245
12,15257
14,15268
16,15280
18,15292
20,15304
21,15316
21,15327
22,15338
23,15350
23,15360
24,15373
24,15385
24,15397
24,15409
23,15420
23,15431
23,15444
22,15455
20,15467
19,15479
17,15490
17,15500
14,15513
11,15524
7,15536
3,15548
0,15560
0,15570
-2,15582
-6,15594
-9,15606
-12,15618
-10,15630
-10,15640
-14,15652
-15,15664
-15,15675
-16,15687
-17,15700
-17,15711
-18,15723
-18,15735
-19,15747
-19,15757
-19,15769
-20,15781
-20,15792
-20,15804
-20,15816
-20,15826
-20,15838
-19,15850
-19,15860
-19,15873
-19,15886
-19,15898
-18,15909
-18,15921
-18,15931
-18,15945
-17,15957
-17,15968
-16,15980
-15,15992
-15,16001
-14,16013
-14,16025
-14,16036
-13,16048
-10,16060
-10,16070
-7,16082
0,16094
5,16106
10,16118
15,16129
15,16140
21,16152
25,16164
30,16176
30,16186
35,16198
40,16210
40,16220
44,16232
48,16244
52,16257
55,16269
58,16281
60,16293
62,16305
64,16317
65,16329
65,16339
66,16351
66,16361
68,16374
71,16386
74,16398
76,16410
78,16422
80,16433
80,16444
82,16457
85,16469
87,16480
89,16492
89,16506
89,16517
90,16529
89,16542
88,16553
86,16565
83,16577
80,16589
75,16600
75,16611
70,16623
64,16634
64,16645
59,16657
52,16670
45,16682
39,16693
32,16706
32,16716
27,16729
22,16740
16,16752
11,16764
6,16776
6,16786
1,16800
-1,16812
-5,16823
-8,16835
-12,16847
-12,16857
-14,16870
-18,16881
-21,16894
-23,16906
-25,16918
-25,16928
-28,16940
-30,16952
-31,16963
-33,16975
-35,16987
-35,16997
-32,17008
-29,17019
-27,17031
-27,17041
-23,17053
-17,17066
-17,17076
-10,17088
-5,17100
1,17112
7,17124
16,17136
22,17148
30,17159
37,17171
37,17182
45,17193
51,17205
51,17216
80,17228
84,17241
87,17253
90,17265
94,17277
97,17289
97,17299
99,17312
105,17324
112,17335
119,17347
119,17357
147,17370
149,17533
145,17545
145,17555
141,17567
137,17578
134,17590
132,17602
130,17614
130,17624
129,17643
128,17657
128,17670
128,17681
128,17693
128,17705
129,17717
129,17727
129,17739
129,17750
129,17762
129,17774
129,17784
129,17796
129,17808
129,17820
129,17831
129,17843
129,17854
129,17865
128,17877
128,17890
128,17900
127,17913
128,17925
128,17937
128,17949
128,17960
128,17972
128,17982
128,17994
127,18005
128,18017
127,18029
128,18041
128,18051
128,18063
128,18073
128,18086
128,18098
127,18110
127,18122
128,18134
128,18145
128,18156
128,18169
128,18180
128,18192
127,18204
127,18214
127,18227
128,18238
128,18250
127,18262
127,18274
127,18284
128,18297
128,18309
127,18320
128,18333
128,18344
128,18355
128,18367
128,18378
127,18390
127,18402
127,18412
127,18424
128,18436
128,18448
128,18459
127,18471
128,18483
128,18494
128,18506
128,18518
128,18529
128,18541
128,18552
128,18564
128,18576
127,18588
128,18599
127,18611
127,18622
