Error, Time
113,16844
113,16854
110,16866
106,16884
101,16896
97,16908
92,16919
92,16930
84,16943
71,16955
60,16971
49,16985
39,16997
30,17008
20,17020
13,17032
13,17042
7,17054
1,17073
-4,17086
-9,17099
-13,17111
-17,17123
-21,17135
-25,17147
-28,17158
-31,17173
-31,17183
-33,17194
-34,17207
-36,17219
-37,17230
-37,17242
-37,17253
-38,17265
-40,17276
-40,17287
-39,17300
-37,17314
-33,17325
-29,17337
-25,17349
-25,17360
-20,17373
-14,17391
-8,17402
-2,17414
3,17426
9,17438
17,17450
22,17461
22,17474
29,17486
35,17498
42,17510
48,17522
55,17534
60,17545
60,17556
66,17571
71,17585
80,17599
83,17611
86,17623
88,17634
88,17645
89,17657
90,17673
91,17686
90,17699
90,17710
88,17722
84,17734
80,17745
74,17758
74,17773
69,17784
63,17797
56,17808
50,17820
43,17832
35,17843
35,17854
27,17865
20,17889
11,17907
4,17920
-3,17932
-10,17944
-20,17956
-29,17969
-36,17980
-42,17992
-48,18003
-55,18015
-62,18027
-62,18039
-68,18050
-73,18062
-73,18073
-80,18084
-87,18097
-94,18109
-99,18121
-107,18133
-114,18145
-114,18155
-117,18168
-121,18179
-123,18191
-125,18203
-125,18213
-127,18226
-127,18238
-127,18251
-127,18262
-127,18274
-127,18285
-125,18298
-123,18310
-121,18321
-119,18333
-113,18345
-113,18355
-106,18367
-99,18379
-91,18390
-82,18402
-82,18413
-73,18424
-63,18436
-53,18448
-42,18460
-32,18472
-32,18482
-21,18494
-21,18505
-10,18516
0,18529
12,18541
22,18553
30,18564
37,18577
45,18588
50,18600
55,18612
55,18623
59,18634
59,18645
63,18657
67,18669
70,18681
72,18693
74,18704
75,18716
76,18728
76,18738
76,18750
76,18762
75,18774
75,18784
73,18796
71,18808
68,18820
65,18831
65,18842
60,18854
56,18866
51,18878
45,18889
39,18901
32,18913
32,18923
26,18935
19,18947
14,18958
4,18971
-6,18983
-6,18993
-18,19004
-30,19017
-45,19029
-60,19040
-60,19051
-74,19063
-74,19073
-91,19085
-98,19097
-105,19109
-112,19121
-119,19133
-125,19144
-132,19156
-138,19168
-138,19179
-143,19190
-148,19202
-148,19213
-151,19225
-152,19237
-151,19250
-152,19262
-151,19274
-151,19285
-150,19297
-149,19309
-146,19320
-144,19332
-141,19344
-141,19354
-139,19367
-136,19379
-133,19391
-131,19402
-129,19414
-129,19424
-127,19436
-123,19448
-120,19460
-116,19471
-112,19483
-112,19494
-108,19505
-103,19517
-103,19527
-94,19540
-82,19552
-69,19564
-57,19576
-45,19588
-33,19600
-33,19610
-21,19622
-9,19633
-9,19644
1,19656
12,19668
21,19680
26,19692
32,19704
36,19716
40,19728
43,19740
43,19755
46,19768
47,19780
45,19792
42,19803
40,19815
37,19827
34,19839
34,19850
32,19861
27,19873
22,19885
19,19896
19,19907
13,19919
13,19930
8,19942
3,19953
-3,19966
-8,19978
-14,19989
-20,20000
-27,20012
-34,20024
-34,20034
-41,20049
-46,20061
-46,20072
-53,20083
-59,20095
-68,20107
-90,20119
-92,20131
-94,20143
-95,20155
-94,20167
-94,20177
-93,20189
-95,20200
-95,20211
-96,20224
-98,20236
-102,20248
-112,20260
-122,20272
-122,20282
-129,20294
-136,20306
-140,20318
-145,20330
-147,20342
-147,20352
-148,20364
-149,20376
-148,20388
-146,20400
-143,20411
-143,20422
-140,20433
-136,20445
-132,20457
-132,20467
-127,20479
-122,20491
-117,20503
-112,20515
-104,20527
-92,20539
-92,20549
-79,20561
-65,20573
-51,20585
-37,20596
-37,20607
-24,20619
-8,20631
-8,20641
4,20653
16,20666
27,20678
37,20689
46,20702
56,20713
56,20724
65,20736
73,20748
81,20759
87,20771
87,20782
95,20794
100,20806
105,20819
110,20830
112,20842
112,20853
117,20865
119,20877
120,20888
120,20900
119,20912
119,20922
117,20934
113,20946
109,20958
104,20970
104,20980
97,20992
91,21002
84,21014
76,21026
68,21038
68,21049
55,21061
55,21071
49,21083
42,21095
32,21108
22,21119
13,21131
3,21143
-6,21155
-15,21167
-15,21177
-23,21189
-33,21201
-33,21211
-43,21223
-51,21235
-59,21247
-68,21260
-75,21272
-83,21284
-90,21295
-90,21306
-96,21318
-102,21330
-107,21342
-107,21352
-111,21365
-115,21377
-118,21389
-120,21401
-122,21413
-122,21424
-123,21436
-122,21448
-120,21459
-118,21471
-115,21482
-115,21493
-111,21504
-106,21516
-101,21528
-95,21540
-88,21551
-88,21562
-80,21574
-71,21585
-62,21597
-50,21609
-50,21619
-38,21631
-38,21642
-24,21654
-10,21666
4,21678
17,21690
32,21701
46,21713
60,21725
74,21737
74,21748
88,21759
100,21771
100,21782
112,21794
118,21806
123,21818
128,21830
133,21842
133,21853
137,21865
141,21877
144,21889
145,21900
146,21912
146,21922
146,21935
146,21947
145,21959
144,21970
143,21982
143,21992
140,22003
138,22015
136,22026
134,22039
134,22049
131,22061
127,22073
124,22084
120,22096
116,22108
116,22119
111,22130
103,22142
92,22154
80,22166
80,22177
68,22188
56,22200
56,22211
43,22222
31,22235
18,22246
6,22259
-6,22271
-18,22283
-30,22295
-41,22308
-41,22318
-51,22330
-62,22342
-62,22352
-71,22365
-81,22377
-89,22389
-94,22401
-97,22413
-99,22425
-99,22435
-99,22447
-99,22459
-98,22471
-96,22483
-96,22493
-93,22505
-89,22517
-85,22529
-81,22541
-76,22552
-76,22563
-71,22575
-65,22587
-59,22598
-51,22611
-44,22622
-44,22633
-35,22645
-24,22656
-9,22668
4,22680
4,22690
20,22702
37,22714
56,22726
73,22737
83,22749
83,22760
90,22771
90,22782
98,22794
108,22806
118,22818
128,22830
137,22842
147,22854
147,22864
143,23097
139,23109
139,23120
136,23131
133,23143
131,23155
128,23167
126,23179
124,23191
124,23201
123,23213
122,23225
121,23237
120,23250
120,23260
119,23272
119,23284
118,23296
116,23308
115,23320
115,23330
113,23342
113,23353
112,23364
110,23376
108,23388
108,23400
108,23412
108,23424
108,23435
108,23445
107,23457
106,23469
104,23481
104,23491
104,23503
109,23515
116,23527
120,23538
120,23549
122,23560
124,23572
124,23584
125,23596
110,23607
118,23620
118,23630
124,23642
123,23654
121,23666
120,23678
120,23688
118,23700
116,23712
114,23724
112,23736
112,23746
109,23758
107,23770
107,23781
104,23793
100,23805
98,23817
96,23828
94,23840
93,23852
91,23863
91,23874
90,23885
90,23897
91,23909
91,23919
92,23931
92,23943
93,23954
93,23966
93,23977
92,23988
92,24000
92,24011
91,24022
86,24034
81,24049
81,24060
76,24071
71,24083
66,24095
61,24107
56,24118
56,24129
53,24140
46,24152
40,24164
36,24175
36,24186
32,24198
32,24209
28,24221
25,24232
21,24244
18,24261
14,24273
12,24285
9,24297
7,24308
7,24319
5,24331
2,24343
1,24355
-1,24366
-2,24378
-3,24390
-3,24401
-4,24412
-5,24424
-5,24436
-6,24447
-6,24458
-6,24469
-6,24481
-6,24491
-6,24504
20,24517
40,24528
53,24540
58,24552
58,24563
61,24575
61,24587
60,24599
60,24611
59,24622
59,24633
57,24645
57,24657
44,24680
30,24692
30,24703
24,24714
12,24726
-8,24794
-36,24806
-77,24819
-77,24829
-79,24841
-72,24853
-65,24864
-40,24876
-40,24887
-40,24899
-40,24911
-40,24921
-39,24933
-37,24946
-36,24957
-34,24969
-32,24981
-29,24993
-29,25002
-27,25014
-24,25026
-21,25038
-18,25050
-18,25060
-14,25073
-10,25085
-7,25097
-3,25109
0,25121
0,25131
3,25143
7,25155
11,25167
14,25179
17,25190
17,25201
21,25212
25,25224
28,25236
31,25249
31,25259
34,25271
36,25283
38,25294
40,25306
42,25318
42,25328
43,25340
43,25350
45,25362
46,25374
47,25386
47,25398
48,25409
48,25421
47,25433
47,25444
46,25456
46,25468
46,25479
46,25489
45,25502
11,25514
-49,25607
-8,25619
-8,25629
27,25641
27,25653
27,25664
27,25676
27,25687
27,25699
27,25710
26,25722
25,25734
25,25745
25,25762
24,25773
23,25785
22,25797
21,25809
19,25821
18,25832
18,25842
17,25854
16,25866
14,25878
13,25890
13,25902
13,25912
12,25924
10,25935
10,25946
10,25959
9,25971
8,25983
7,25994
5,26005
3,26017
3,26027
2,26039
2,26051
2,26061
1,26073
0,26086
-2,26098
-3,26109
-3,26122
-4,26133
-2,26145
-2,26156
-4,26168
-3,26179
-2,26191
-2,26201
-4,26214
-3,26226
-3,26238
0,26251
1,26263
1,26273
1,26285
1,26297
3,26308
1,26320
2,26331
2,26342
2,26354
4,26365
5,26377
6,26389
6,26399
7,26411
8,26423
9,26435
9,26447
9,26457
9,26469
9,26481
9,26492
9,26504
9,26515
9,26526
9,26537
9,26550
9,26561
9,26573
9,26584
-60,26733
-54,26767
-54,26778
6,26789
9,26801
8,26813
8,26825
8,26837
11,26848
12,26860
13,26872
13,26882
13,26894
13,26906
13,26916
14,26929
15,26941
15,26953
13,26965
14,26976
14,26987
14,26999
14,27010
13,27021
13,27033
13,27045
13,27055
13,27067
14,27078
14,27090
14,27102
14,27114
14,27124
14,27136
14,27148
14,27159
13,27171
13,27181
13,27193
15,27204
15,27216
15,27227
15,27239
15,27251
16,27265
16,27278
15,27289
14,27301
14,27311
14,27323
15,27335
15,27347
13,27359
13,27370
13,27381
13,27393
14,27405
14,27415
14,27428
14,27440
14,27452
14,27463
12,27475
12,27485
12,27497
13,27509
13,27521
13,27532
13,27544
13,27554
13,27566
13,27578
13,27590
12,27602
12,27612
12,27624
12,27635
12,27647
12,27658
12,27671
11,27682
11,27694
11,27706
10,27718
10,27729
10,27739
10,27751
9,27763
9,27774
9,27785
9,27798
9,27809
12,27821
10,27833
10,27843
10,27856
8,27867
9,27879
9,27891
9,27902
9,27913
9,27924
8,27936
7,27948
8,27960
7,27971
7,27982
8,27993
8,28004
8,28016
8,28027
8,28038
7,28050
7,28063
6,28074
6,28085
5,28098
5,28110
-59,28121
82,28330
82,28340
